COMMODITY_DESC,multi_share,cat_trips
BABY FOODS,0.7356293960708222,4123
BABYFOOD,0.5785714285714286,140
YOGURT,0.5776963170857438,17459
FRZN MEAT/MEAT DINNERS,0.5706885772974905,22394
PWDR/CRYSTL DRNK MX,0.5522274881516588,5275
SOUP,0.48524928071456175,23287
FROZEN PIZZA,0.46793015705887514,22794
ISOTONIC DRINKS,0.4639545884578997,5285
VEGETABLES - SHELF STABLE,0.4603132110828537,22413
CAT FOOD,0.4508209298757097,6517
FITNESS&DIET,0.42603911980440096,1636
FRZN VEGETABLE/VEG DSH,0.4234540566186937,12646
DRY MIX DESSERTS,0.42064372918978915,5406
SOFT DRINKS,0.41483682143750095,67993
HISPANIC,0.39652001697552697,14138
BAG SNACKS,0.39508216676810715,41075
CONVENIENT BRKFST/WHLSM SNACKS,0.39158319521510415,13877
BAKING MIXES,0.3813097471634057,11193
DELI MEATS,0.3812610489098409,16970
CHEESE,0.3775308695557822,46081
HAIR CARE PRODUCTS,0.3763795509323861,7883
COLD CEREAL,0.37242740343952635,24829
FRUIT - SHELF STABLE,0.37201546274539526,13193
MEAT - SHELF STABLE,0.36745886654478976,13675
CANDY - CHECKLANE,0.340686384178263,22349
FROZEN,0.3404669260700389,1542
CANDY - PACKAGED,0.3388128286512862,21109
DRY BN/VEG/POTATO/RICE,0.33181265206812655,13152
DOG FOODS,0.3292390230128477,7083
GREETING CARDS/WRAP/PARTY SPLY,0.3276550439180197,7514
LUNCHMEAT,0.32198314582709503,23377
BAKED SWEET GOODS,0.32187025385116075,18436
FRZN JCE CONC/DRNKS,0.32045088566827695,1863
CANNED JUICES,0.3203450025367834,19710
AIR CARE,0.3202321287259298,3791
SUSHI,0.3162118780096308,623
FRZN BREAKFAST FOODS,0.3142896475770925,7264
SNKS/CKYS/CRKR/CNDY,0.3074501573976915,953
MAKEUP AND TREATMENT,0.3030848329048843,3890
CHRISTMAS  SEASONAL,0.2971520687802257,1861
DINNER MXS:DRY,0.29692832764505117,13185
BAKED BREAD/BUNS/ROLLS,0.29585998548547704,59251
PREPARED/PKGD FOODS,0.2929745889387145,669
ICE CREAM/MILK/SHERBTS,0.2928118393234672,19866
FRZN NOVELTIES/WTR ICE,0.290338305547431,10257
WATER,0.28664259927797836,1385
VALENTINE,0.27906976744186046,430
REFRIGERATED,0.27896995708154504,5126
PAPER HOUSEWARES,0.27672955974842767,7632
HOUSEHOLD CLEANG NEEDS,0.2757352941176471,7344
STATIONERY & SCHOOL SUPPLIES,0.27159956474428726,4595
HOME FREEZING & CANNING SUPPLY,0.26490066225165565,151
WAREHOUSE SNACKS,0.26307668569665177,6481
BAKING NEEDS,0.26049766718507,10288
REFRGRATD DOUGH PRODUCTS,0.25933846592529225,14028
COOKIES/CONES,0.25224905303030304,16896
BEEF,0.24959991170465207,36242
HALLOWEEN,0.24878048780487805,615
DRY TEA/COFFEE/COCO MIX,0.2465753424657534,146
FIREWORKS,0.24528301886792453,159
ORAL HYGIENE PRODUCTS,0.24377660260544307,7753
SPICES & EXTRACTS,0.24044704630122404,9395
CONDIMENTS/SAUCES,0.23531405332128333,17704
CRACKERS/MISC BKD FD,0.23525752121939297,22503
COFFEE SHOP,0.23243243243243245,185
BEANS - CANNED GLASS & MW,0.23141195134849285,9455
CANDLES/ACCESSORIES,0.22914911541701768,1187
DOLLAR VALUE PRODUCTS,0.2275449101796407,167
DIETARY AID PRODUCTS,0.22573363431151242,1772
