category,placebo,week_fe,coef,se,p,n_obs,n_items,n_clusters
AIR CARE,actual,False,-1.4885622835910701,0.8850538996446282,0.23461503648001047,306,3,3
APPLES,actual,False,-0.17090450781983282,0.20482360395820898,0.4113784844240108,2856,28,28
BABY FOODS,actual,False,-0.22410345061811449,0.3207789117410706,0.48757973471514304,6018,59,59
BABY HBC,actual,False,-0.4260362851244303,0.4792021536850621,0.43946597009810134,408,4,4
BACON,actual,False,-1.5820446579099197,0.24457783832374305,4.443466732263827e-07,3060,30,30
BAG SNACKS,actual,False,-1.564515257130556,0.2696859142396547,3.695782448625543e-08,15606,153,153
BAKED BREAD/BUNS/ROLLS,actual,False,-0.810539724031516,0.16423398970899647,2.2407124185023637e-06,14382,141,141
BAKED SWEET GOODS,actual,False,-1.266019136619151,0.14945661363088392,3.061927799996273e-12,7038,69,69
BAKING MIXES,actual,False,-0.6934993181980886,0.15856826688154077,6.549427723511705e-05,4998,49,49
BAKING NEEDS,actual,False,-1.2583231685173049,0.17371377813593816,2.6202929265079663e-08,3468,34,34
BATH TISSUES,actual,False,-1.7454613990193881,0.9927235375238648,0.08744683007684309,3672,36,36
BATTERIES,actual,False,-0.9400290524713288,0.7492609419378574,0.29846851106292305,408,4,4
BEANS - CANNED GLASS & MW,actual,False,-1.2516637709346223,0.18585695569492788,2.803387286717913e-08,4590,45,45
BEEF,actual,False,-0.45785942226869686,0.14183104913494504,0.0018868375353776605,7344,72,72
BEERS/ALES,actual,False,-1.5447126412801135,0.3595229710005895,9.157358797886145e-05,4692,46,46
BERRIES,actual,False,-0.8129526816449459,0.5869800256905724,0.18773408580755907,1530,15,15
BLEACH,actual,False,-2.1291977193841998,0.24478647278124857,1.1276265656348313e-05,1020,10,10
BREAD,actual,False,-1.178672912555708,0.2066627927367627,2.0806571232778104e-05,1938,19,19
BREAKFAST SAUSAGE/SANDWICHES,actual,False,-1.5772117282123543,0.18256250596219212,2.655187582971624e-10,3774,37,37
BREAKFAST SWEETS,actual,False,-1.1121243218197383,0.42960536445485537,0.021443130057703284,1530,15,15
BROCCOLI/CAULIFLOWER,actual,False,-0.4465287423599074,1.2833420568250153,0.745422569442292,510,5,5
BUTTER,actual,False,-2.177346707897345,0.2737257777708637,2.316657311907983e-05,1020,10,10
CAKES,actual,False,0.23320267502500566,0.0424713955967948,0.01188471017607873,408,4,4
CANDY - CHECKLANE,actual,False,-0.9469493927311593,0.0876510903702935,6.2090740567294066e-18,9282,91,91
CANDY - PACKAGED,actual,False,-1.066921046641408,0.2968446928180273,0.0008031759394746202,4692,46,46
CANNED JUICES,actual,False,-1.216383675330941,0.157389120922104,1.1803677705652365e-11,9690,95,95
CANNED MILK,actual,False,-2.0333162490429304,0.39991275193672177,0.007058998007088414,510,5,5
CARROTS,actual,False,-0.23140272156854708,0.31299116610207367,0.49293485774857637,612,6,6
CAT FOOD,actual,False,-0.3852901441664519,0.13495465418405064,0.006542330686710105,4590,45,45
CAT LITTER,actual,False,-1.1087633642564116,0.2625638943656873,0.003922807204817034,816,8,8
CHEESE,actual,False,-0.6152411970811824,0.0921255346474033,3.089394153926624e-10,17952,176,176
CHEESES,actual,False,-0.2557191586148077,0.08355819793898069,0.006174852848028154,2142,21,21
CHICKEN,actual,False,-0.13007942742779524,0.4398120563415969,0.7695946813008854,2958,29,29
CHICKEN/POULTRY,actual,False,-0.7673266655877545,0.4444263406280084,0.1121855776258667,1224,12,12
CIGARETTES,actual,False,-0.9893901870472444,0.2829774051421972,0.0016488571489136948,2856,28,28
CITRUS,actual,False,-1.2263649214872767,0.43139345747223967,0.010056582778369792,2142,21,21
COCOA MIXES,actual,False,-1.3735179262487136,0.4552779993274893,0.014552752313135136,1020,10,10
COFFEE,actual,False,-0.7175975610969035,0.24591444059332976,0.007016711763465376,2856,28,28
COFFEE FILTERS,actual,False,-0.23943273518551342,0.09899813773377375,0.09429065023357383,408,4,4
COLD CEREAL,actual,False,-1.6706708263345842,0.18444777431944495,1.3274242679610308e-15,13872,136,136
CONDIMENTS/SAUCES,actual,False,-1.379889615863181,0.24789399651589422,9.230122514802099e-07,5406,53,53
CONVENIENT BRKFST/WHLSM SNACKS,actual,False,-0.9459461343304075,0.23110942011098198,0.0001098432862786508,7446,73,73
COOKIES,actual,False,-1.1894083144603163,0.21187672611739386,0.001363607117975535,714,7,7
COOKIES/CONES,actual,False,-1.2269831778878768,0.2580933043677412,1.9967462305921657e-05,4794,47,47
CORN,actual,False,-3.2975803987887096,1.0432995203443287,0.050842788277724496,408,4,4
COUPON/MISC ITEMS,actual,False,0.022665835806251998,0.036124994339443404,0.5534906172477785,714,7,7
CRACKERS/MISC BKD FD,actual,False,-0.9969293331556938,0.17169112705018477,1.9183123799646735e-07,6936,68,68
DELI MEATS,actual,False,-0.2741412068357252,0.08353338926668351,0.001998082325420306,4692,46,46
