category,real_coef,real_p,real_significant_negative,n_placebo_failures,failed_placebos,fails_strict_placebo,clean,usable
FRZN ICE,-10.107284259161082,0.1722894556678903,False,0,,False,False,False
PIES,-2.5165045895812925,0.08477240573581066,False,0,,False,False,False
CORN,-2.2100610274078605,0.00044060589258378586,True,1,forward,False,False,True
BLEACH,-2.090525475563406,0.00010132747856137145,True,1,forward,False,False,True
BATH TISSUES,-1.780723666983543,0.09155100635275865,False,0,,False,False,False
FRUIT - SHELF STABLE,-1.6885457626223772,1.3424998733551487e-37,True,1,backward,False,False,True
EGGS,-1.6699186363249214,5.696168228648195e-05,True,1,forward,False,False,True
INFANT FORMULA,-1.5061675074103162,0.11617342597408435,False,0,,False,False,False
AIR CARE,-1.4882294821225701,0.04901464179377622,False,0,,False,False,False
COCOA MIXES,-1.443628404574245,0.003571344598401921,True,1,backward,False,False,True
BEERS/ALES,-1.3584190591643688,3.5462642015832973e-05,True,1,backward,False,False,True
REFRGRATD DOUGH PRODUCTS,-1.3427517859058156,1.97626630834576e-20,True,2,"forward,backward",False,False,True
SALAD MIX,-1.3152326283283082,0.01591379853610276,False,0,,False,False,False
BEANS - CANNED GLASS & MW,-1.2968240626013696,6.483413459552678e-07,True,1,backward,False,False,True
FROZEN PIZZA,-1.296737942359358,1.218111585811208e-30,True,1,forward,False,False,True
DIAPERS & DISPOSABLES,-1.2786533422283877,0.22293203273243645,False,1,permute,True,False,False
SWEET GOODS & SNACKS,-1.264819678912971,0.03621645640708369,False,0,,False,False,False
MISCELLANEOUS,-1.262814683378089,0.03364829042745381,False,0,,False,False,False
FACIAL TISS/DNR NAPKIN,-1.24087950558053,2.3056686833375138e-08,True,1,forward,False,False,True
PREPARED FOOD,-1.236001533977256,0.13164108526748147,False,0,,False,False,False
CANNED JUICES,-1.2306239882532217,8.814957239088338e-12,True,1,forward,False,False,True
SOAP - LIQUID & BAR,-1.0986143653898668,0.0612169622843933,False,0,,False,False,False
PASTA SAUCE,-1.0958192697270555,5.3275600742101465e-09,True,1,forward,False,False,True
BREAKFAST SWEETS,-1.0896399566189499,0.030971482469560187,False,0,,False,False,False
CANNED MILK,-1.0638846314991466,0.1424608174948532,False,0,,False,False,False
CITRUS,-1.0637158665845772,0.009846246758647974,True,1,forward,False,False,True
BATTERIES,-1.0613833675639732,0.06007812134374525,False,0,,False,False,False
LAUNDRY DETERGENTS,-1.0566240729125351,0.014546507987804009,False,0,,False,False,False
SOFT DRINKS,-1.001839434922747,3.8027579835571786e-16,True,1,swap,True,False,False
FRZN FRUITS,-0.9743345972387583,0.19911296277695092,False,0,,False,False,False
FLOUR & MEALS,-0.9715650587937046,0.010722035638473812,False,0,,False,False,False
DRY SAUCES/GRAVY,-0.9466300380703081,0.0003992953552768742,True,1,backward,False,False,True
DINNER SAUSAGE,-0.9248267702019323,1.2956121977433756e-05,True,1,forward,False,False,True
MISC. DAIRY,-0.8868882903132235,0.014614967673999675,False,0,,False,False,False
BAKING MIXES,-0.8563133950886394,5.103369622119e-08,True,1,backward,False,False,True
MELONS,-0.8484834872022067,0.17101681484821504,False,0,,False,False,False
FLUID MILK PRODUCTS,-0.8390857771454859,0.04651699064264046,False,1,backward,False,False,False
SPICES & EXTRACTS,-0.8377203921523065,8.440622943592632e-07,True,1,forward,False,False,True
TEAS,-0.8322134912493194,0.13074917073298328,False,0,,False,False,False
ISOTONIC DRINKS,-0.8255141192593309,0.10342036921953687,False,0,,False,False,False
FRZN NOVELTIES/WTR ICE,-0.8213553875519525,2.920897514702053e-07,True,1,backward,False,False,True
FRZN MEAT/MEAT DINNERS,-0.81931946832233,2.485525767639296e-32,True,1,swap,True,False,False
BAKING NEEDS,-0.8132770778136812,1.0442080140624698e-05,True,1,forward,False,False,True
ROLLS,-0.807313174712496,0.0006294296168614087,True,1,permute,True,False,False
CHICKEN/POULTRY,-0.740812903100555,0.09066315653670551,False,0,,False,False,False
FRZN POTATOES,-0.7302377765413013,1.117104633712404e-05,True,1,backward,False,False,True
NO COMMODITY DESCRIPTION,-0.7215041337530471,0.31310842010413653,False,0,,False,False,False
