COMMODITY_DESC,n_top_items,item_weeks,share_weeks_price_moves,share_weeks_base_moves,share_weeks_promo_moves,share_weeks_either_moves,n_items_base_moves,n_items_promo_moves,differential_cells,differential_per_pair,mean_abs_move_corr,cat_trips,multi_any,multi_top,n_items_all,trips_top,drop_reason,scored,kept_today
(CORP USE ONLY),2,13,1.0,1.0,0.0,1.0,2,0,11.0,5.5,0.376644358187437,60,0.0,0.0,4,60,fewer than 5 items or <200 category-trips,True,False
ADULT INCONTINENCE,10,113,0.17699115044247787,0.035398230088495575,0.1592920353982301,0.168141592920354,3,6,174.0,1.9333333333333333,0.03505128110947625,506,0.08893280632411067,0.06324110671936758,55,345,fewer than 5 items or <200 category-trips,True,False
AIR CARE,10,384,0.20833333333333334,0.1171875,0.19791666666666666,0.21354166666666666,6,9,594.0,6.6,0.17224047324898387,3791,0.3202321287259298,0.03534687417567924,413,953,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
ANALGESICS,10,186,0.3602150537634409,0.021505376344086023,0.34408602150537637,0.3602150537634409,2,10,531.0,5.9,0.11087509360202523,4226,0.09985802176999527,0.000946521533364884,484,543,fewer than 5 items or <200 category-trips,True,False
ANTACIDS,10,131,0.1984732824427481,0.022900763358778626,0.20610687022900764,0.21374045801526717,2,8,220.0,2.4444444444444446,0.06644557486721987,1748,0.06578947368421052,0.005148741418764302,233,459,fewer than 5 items or <200 category-trips,True,False
APPAREL,9,24,0.25,0.125,0.16666666666666666,0.25,3,3,46.0,0.6388888888888888,0.15484799983502281,449,0.09799554565701558,0.008908685968819599,236,102,fewer than 5 items or <200 category-trips,True,False
APPLES,10,843,0.800711743772242,0.7734282325029656,0.302491103202847,0.8030842230130486,10,10,2125.0,23.61111111111111,0.11622509754113607,13132,0.07881510813280536,0.039445628997867806,194,8867,KEPT,True,True
AUDIO/VIDEO PRODUCTS,8,15,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0,2,14.0,0.25,0.07142857142857144,896,0.11272321428571429,0.0,495,110,fewer than 5 items or <200 category-trips,True,False
AUTOMOTIVE PRODUCTS,10,107,0.2616822429906542,0.11214953271028037,0.17757009345794392,0.2616822429906542,6,4,250.0,2.7777777777777777,0.03302437018809733,920,0.12173913043478261,0.013043478260869565,191,437,fewer than 5 items or <200 category-trips,True,False
BABY FOODS,10,650,0.15076923076923077,0.08615384615384615,0.06769230769230769,0.15076923076923077,10,10,534.0,5.933333333333334,0.5370587094831931,4123,0.7356293960708222,0.09313606597138006,643,1715,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
BABY HBC,10,382,0.16753926701570682,0.005235602094240838,0.16230366492146597,0.16753926701570682,2,10,524.0,5.822222222222222,0.08077421403335318,3956,0.1306875631951466,0.003538928210313448,358,1006,KEPT,True,True
BABYFOOD,10,48,0.10416666666666667,0.0,0.10416666666666667,0.10416666666666667,0,4,43.0,0.4777777777777778,0.13932688458458456,140,0.5785714285714286,0.3142857142857143,40,215,fewer than 5 items or <200 category-trips,True,False
BACON,10,723,0.41770401106500693,0.019363762102351315,0.40802213001383125,0.41770401106500693,5,10,1814.0,20.155555555555555,0.1900043771874786,10815,0.0541840036985668,0.020249653259361997,168,6044,KEPT,True,True
BAG SNACKS,10,927,0.40560949298813376,0.045307443365695796,0.38727076591154264,0.40668824163969797,10,9,1944.0,21.6,0.18856562860369527,41075,0.39508216676810715,0.028289713937918442,1521,12161,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
BAKED BREAD/BUNS/ROLLS,10,1005,0.3870646766169154,0.027860696517412936,0.3761194029850746,0.3850746268656716,9,10,1743.0,19.366666666666667,0.17562398632388646,59251,0.29585998548547704,0.08188891326728663,1169,36780,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
BAKED SWEET GOODS,10,979,0.26251276813074564,0.020429009193054137,0.24514811031664965,0.25842696629213485,7,10,1217.0,13.522222222222222,0.27685847759675447,18436,0.32187025385116075,0.06839878498589716,680,7957,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
BAKERY PARTY TRAYS,7,15,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,1,0,6.0,0.14285714285714285,,127,0.06299212598425197,0.0,46,76,fewer than 5 items or <200 category-trips,True,False
BAKING,8,43,0.11627906976744186,0.023255813953488372,0.09302325581395349,0.11627906976744186,1,3,35.0,0.625,0.020813910599633088,334,0.1467065868263473,0.017964071856287425,70,191,fewer than 5 items or <200 category-trips,True,False
