item,category,subclass,brand,nearest_neighbours,share_same_subclass
8065410,BACON,ECONOMY,National,ECONOMY/National | PREMIUM/Private | ECONOMY/National | ECONOMY/Private,0.75
1127831,BERRIES,STRAWBERRIES,National,BLUEBERRIES/National | STRAWBERRIES/National | STRAWBERRIES/National | STRAWBERRIES/National,0.75
1095275,ROLLS,ROLLS: BAGELS,National,ROLLS: SANDWICH/National | ROLLS: CROISSANTS/BREADSTICKS/National | ROLLS: SANDWICH/Private | ROLLS: SANDWICH/Private,0.0
957736,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,National,SPRING WATER/National | NON-CRBNTD DRNKING/MNERAL WATE/National | DISTILLED WATER/Private | NON-CRBNTD DRNKING/MNERAL WATE/Private,0.25
976998,PAPER TOWELS,PAPER TOWELS & HOLDERS,Private,PAPER TOWELS & HOLDERS/Private | PAPER TOWELS & HOLDERS/Private | PAPER TOWELS & HOLDERS/National | PAPER TOWELS & HOLDERS/National,1.0
995965,SALAD MIX,GARDEN PLUS,National,BLENDS/National | BLENDS/National | SALAD SPINACH/National | BLENDS/National,0.0
1043590,SHORTENING/OIL,VEGETABLE/SALAD OIL,Private,VEGETABLE/SALAD OIL/National | VEGETABLE/SALAD OIL/National | COOKING SPRAYS/National | VEGETABLE/SALAD OIL/Private,0.75
961554,CARROTS,CARROTS MINI PEELED,Private,CARROTS MINI PEELED/National | CARROTS - BULK/National | CARROTS MINI PEELED/National | CARROTS MINI PEELED/Private,0.75
883963,HOT DOGS,ECONOMY - MEAT,National,ECONOMY - MEAT/National | ECONOMY - MEAT/Private | ECONOMY - MEAT/National | ECONOMY - MEAT/National,1.0
8205218,HOT DOGS,ECONOMY - MEAT,National,ECONOMY - MEAT/National | ECONOMY - MEAT/National | ECONOMY - MEAT/Private | ECONOMY - MEAT/National,1.0
10149640,BATH TISSUES,TOILET TISSUE,National,TOILET TISSUE/National | TOILET TISSUE/National | TOILET TISSUE/National | TOILET TISSUE/Private,1.0
1004906,POTATOES,POTATOES RUSSET (BULK&BAG),Private,POTATOES RUSSET (BULK&BAG)/Private | POTATOES RUSSET (BULK&BAG)/Private | POTATOES RUSSET (BULK&BAG)/National | POTATOES RUSSET (BULK&BAG)/Private,1.0
