label,group_id,loglik,mse,purchases,rank_ll,rank_se
nf,0,-5.324205900493421,0.9801066348427221,190.0,5.0,3.0
nf,1,-5.944294649011948,0.9572302874396829,51.0,1.0,1.0
nf,2,-4.691688483488475,0.9607438973501219,282.0,6.0,4.0
nf,3,-4.136312625063862,0.9372302478925408,367.0,7.0,6.0
nf,4,-7.744503173828125,1.002079391479492,50.0,8.0,7.0
nf,5,-4.279242379324777,0.945547376360212,336.0,3.0,1.0
nf,6,-4.473760157455633,0.8759079921392747,162.0,7.0,2.0
nf,7,-3.84993310546875,0.9382598876953125,500.0,7.0,6.0
nf,8,-5.86325448843149,0.9900094839242789,130.0,2.0,1.0
nf,9,-5.0658203125,0.9455855425666361,170.0,5.0,3.0
nf,10,-4.393446350097657,0.9350908915201823,240.0,5.0,3.0
nf,11,-4.573517898033405,0.9627333016231142,232.0,2.0,2.0
nf,12,-6.38337449903612,0.9914318926922687,77.0,5.0,4.0
nf,13,-3.382728837176067,0.9155953011861662,410.0,2.0,5.0
nf,14,-6.059477956671464,0.9757833982768812,76.0,7.0,5.0
nf,15,-5.388377412836602,0.9814403615099319,188.0,6.0,2.0
nf,16,-4.246171235437657,0.9541197808023063,397.0,7.0,4.0
nf,17,-6.077432035195707,0.991284996572167,99.0,6.0,4.0
nf,18,-6.052808849089736,0.9930500415487027,109.0,5.0,1.0
nf,19,-5.4921124432538,0.9646152805637669,74.0,1.0,2.0
nf,20,-2.812247536399148,0.8857155713168058,1408.0,5.0,5.0
nf,21,-5.124054509943182,0.9588243889086174,165.0,2.0,2.0
nf,22,-5.86913090258573,0.9923991650606678,113.0,3.0,2.0
nf,23,-5.499299596567623,0.9850478875832479,183.0,3.0,3.0
nf,24,-5.646679336218525,0.986149630100607,139.0,4.0,5.0
nf,25,-5.632917131696429,0.9699215480259487,140.0,3.0,1.0
nf,26,-4.321322797030805,0.9483826031372418,351.0,5.0,2.0
nf,27,-4.6289705762676165,0.9093077416513481,51.0,3.0,7.0
nf,28,-6.488641274941934,0.9937808062579181,74.0,5.0,2.0
nf,29,-5.127855802837171,0.9571491709926672,114.0,3.0,2.0
nf,30,-4.462882935531496,0.9697443443959154,381.0,5.0,5.0
nf,31,-4.633783318014705,0.964715815525429,255.0,4.0,4.0
nf,32,-4.593300819396973,0.9784548282623291,256.0,2.0,7.0
nf,33,-2.370228515625,0.72913134765625,375.0,1.0,1.0
nf,34,-6.602259901703381,0.9922225201716188,61.0,7.0,5.0
