label,group_id,loglik,mse,purchases,rank_ll,rank_se
nf_ctl,0,-5.401952482524671,0.9819151225842928,190.0,5.0,4.0
nf_ctl,1,-6.098771637561274,0.966435151941636,51.0,3.0,5.0
nf_ctl,2,-4.636867658466312,0.9612578263519503,282.0,2.0,1.0
nf_ctl,3,-4.087637171108652,0.9352160877362908,367.0,2.0,5.0
nf_ctl,4,-7.562227783203125,1.001297149658203,50.0,4.0,4.0
nf_ctl,5,-4.225464593796503,0.9472989581880116,336.0,1.0,2.0
nf_ctl,6,-4.377766173562886,0.8872164502555941,162.0,6.0,6.0
nf_ctl,7,-3.80699951171875,0.93842431640625,500.0,5.0,6.0
nf_ctl,8,-5.9233924278846155,0.9900838998647836,130.0,1.0,1.0
nf_ctl,9,-5.022883157169118,0.9478822595932904,170.0,4.0,5.0
nf_ctl,10,-4.375254313151042,0.9337406158447266,240.0,3.0,1.0
nf_ctl,11,-4.611716434873384,0.9633716714793238,232.0,2.0,2.0
nf_ctl,12,-6.373287844967533,0.9910522064605316,77.0,5.0,3.0
nf_ctl,13,-3.4352842749618904,0.913899491472942,410.0,6.0,4.0
nf_ctl,14,-5.91873490182977,0.9668227747866982,76.0,1.0,1.0
nf_ctl,15,-5.359878215383976,0.9839974261344747,188.0,6.0,6.0
nf_ctl,16,-4.197759440924118,0.9551436186437342,397.0,4.0,5.0
nf_ctl,17,-5.975626011087437,0.9901446718158144,99.0,1.0,2.0
nf_ctl,18,-5.998184624068234,0.9937176485674097,109.0,2.0,2.0
nf_ctl,19,-5.577528257627745,0.9680041751346072,74.0,3.0,6.0
nf_ctl,20,-2.7927533929998223,0.8867679942737926,1408.0,3.0,6.0
nf_ctl,21,-5.264049183238637,0.9616225733901516,165.0,6.0,5.0
nf_ctl,22,-5.8390994451742255,0.9929783238773853,113.0,2.0,2.0
nf_ctl,23,-5.456195101711919,0.9840191283512637,183.0,3.0,1.0
nf_ctl,24,-5.602688357126799,0.9829037892732689,139.0,2.0,1.0
nf_ctl,25,-5.629800851004465,0.9723338535853795,140.0,1.0,3.0
nf_ctl,26,-4.293322788684117,0.9491525851083956,351.0,2.0,2.0
nf_ctl,27,-4.6932711133769915,0.9065307916379443,51.0,3.0,3.0
nf_ctl,28,-6.382793117213893,0.9947631423537796,74.0,1.0,4.0
nf_ctl,29,-5.0438692862527414,0.955518220600329,114.0,1.0,1.0
nf_ctl,30,-4.379739275754593,0.968843795496022,381.0,1.0,6.0
nf_ctl,31,-4.628428500306373,0.9637741986443015,255.0,1.0,1.0
nf_ctl,32,-4.650096416473389,0.9756909608840942,256.0,3.0,5.0
nf_ctl,33,-2.379787109375,0.7355393880208333,375.0,1.0,4.0
nf_ctl,34,-6.283796466764857,0.990854419645716,61.0,1.0,3.0
nf_ctl,35,-6.0181317497702205,0.9811132094439339,85.0,6.0,2.0
