label,subset,categories,test_purchases,test_loglik,test_mse
nf,all (56 categories),56,13736,-4.2385949072063,0.9377321397140406
nf_promo,all (56 categories),56,13736,-4.241960326668545,0.9353216537293405
nf_nopool,all (56 categories),56,13736,-4.2789940997897435,0.9372953077215196
logit,all (56 categories),56,13736,-4.714474159822814,0.9798626574792345
nf,passes every placebo (25),25,5386,-4.340383584199233,0.9420317441966514
nf_promo,passes every placebo (25),25,5386,-4.341952845548282,0.9409347240959363
nf_nopool,passes every placebo (25),25,5386,-4.377467575101573,0.9423833635275664
logit,passes every placebo (25),25,5386,-4.881726836874899,0.9854677457416363
nf_promo,passes random placebo (46),46,11115,-4.209749931029999,0.9311219205525991
nf,passes random placebo (46),46,11115,-4.210056124063853,0.9335350215086463
nf_nopool,passes random placebo (46),46,11115,-4.241656849698553,0.9331692392312348
logit,passes random placebo (46),46,11115,-4.701747184200862,0.9796147135855966
