bucket,tercile,demand_change,cells,trips
> .25 cut,most elastic,3.8326714585192434,3069.0,74234.0
> .25 cut,middle,3.2178686223812427,3068.0,55773.0
> .25 cut,least elastic,2.6652605081954976,3079.0,76370.0
.10-.25 cut,most elastic,-0.06285691071605853,853.0,21070.0
.10-.25 cut,middle,-1.6048781259653768,860.0,15507.0
.10-.25 cut,least elastic,0.10838561490000644,859.0,21566.0
.01-.10 cut,most elastic,6.743453208330065,293.0,6948.0
.01-.10 cut,middle,2.212467782806451,297.0,5374.0
.01-.10 cut,least elastic,-3.794516924171917,299.0,7333.0
no change,most elastic,-0.5094243301810364,39178.0,942872.0
no change,middle,-0.19276299311511097,39406.0,701143.0
no change,least elastic,-0.6996383126113687,39618.0,968647.0
.01-.10 rise,most elastic,-0.5410512053119878,405.0,9763.0
.01-.10 rise,middle,0.13823989989032057,407.0,7489.0
.01-.10 rise,least elastic,-1.937471419136182,412.0,10274.0
.10-.25 rise,most elastic,-0.3519701506590793,770.0,18849.0
.10-.25 rise,middle,-0.11994731989319965,770.0,14021.0
.10-.25 rise,least elastic,-0.577915743311513,771.0,19283.0
> .25 rise,most elastic,-3.921157450182315,3021.0,74096.0
> .25 rise,middle,-3.0075010939387847,3025.0,54846.0
> .25 rise,least elastic,-3.1366469259879888,3042.0,76548.0
