group_id,COMMODITY_DESC,all items backward,all items forward,all items random,single UPC backward,single UPC forward,single UPC random,fail_single_UPC_forward,fail_all_items_forward,fail_single_UPC_backward,fail_all_items_backward,fail_single_UPC_random,fail_all_items_random,n_failed,fails_any,fails_random_only_tests,fails_backward_tests,actual_price_coef,actual_p
0,APPLES,0.1120075145752066,0.0052644421085025,0.0514848913200595,0.3532279284589064,0.6279994462491197,0.0397525611589016,False,True,False,False,False,False,1,True,False,False,-0.6754244259880219,2.2613797230235762e-09
1,BABY HBC,0.7299450888841542,0.2203522756536724,0.2448804181477808,0.1043128820164217,0.1615842513377698,0.7715477623682513,False,False,False,False,False,False,0,False,False,False,-0.905667614448478,0.0007617591920828
2,BACON,0.1477229850420034,0.7192391145064954,0.6698711897972043,0.6404252604519773,0.6014580128671274,0.6014580128671274,False,False,False,False,False,False,0,False,False,False,-1.1914506034994874,1.7900935272292644e-71
3,BATH TISSUES,5.037278611972813e-18,5.264850184482621e-12,0.4969803526276173,0.0087560612199991,0.2421995624078625,0.372801680904946,False,True,True,True,False,False,3,True,False,True,-0.7249715906886112,7.103723360480802e-45
4,BATTERIES,0.0057989902425594,0.3539556540591975,0.1709797118041796,0.6902380555629233,0.4456585255312875,0.8372004032968257,False,False,False,True,False,False,1,True,False,True,-0.3463000839543261,0.0205062739973691
5,BEEF,0.0256730632368647,0.8197117095652513,0.0186414044248943,0.5055782084093359,0.0617256123691408,0.5055782084093359,False,False,False,False,False,False,0,False,False,False,-0.1616420220466773,0.0075411283086577
6,BEERS/ALES,0.2224348350244337,0.4652997226999974,0.1499216197424281,0.92932553619794,0.3467701097766107,0.92932553619794,False,False,False,False,False,False,0,False,False,False,-0.1674516653704305,0.286627115575517
7,BERRIES,1.5326601466991516e-18,6.920931690136707e-15,5.663427831493585e-07,2.7285480705226425e-06,6.126495734812268e-14,6.126495734812268e-14,True,True,True,True,True,True,6,True,True,True,-0.5797504290925967,7.807250233526934e-47
8,BLEACH,5.45723421678459e-05,0.0001861645665077,0.0984337469904281,0.8524551573094906,0.2432840020342968,0.5659925434910144,False,True,False,True,False,False,2,True,False,True,-1.6048028518327897,4.2093654281885004e-14
9,BREAD,0.0024629121202423,4.427776358894788e-07,0.3648370308688872,0.2810048183125796,0.4284848465098324,0.4317128011857003,False,True,False,True,False,False,2,True,False,True,-0.872994624521895,8.082988023196278e-08
