K,Kp,price_prior_var,lr,val_ll_price_weeks,val_ll_all,secs
40,20,0.25,0.005,-1.5547101497650146,-1.6340874433517456,18.99642515182495
80,20,0.25,0.005,-1.5640313625335693,-1.6420741081237793,24.369089126586914
80,10,0.25,0.005,-1.5657625198364258,-1.6501193046569824,22.497039794921875
40,5,0.25,0.005,-1.565869927406311,-1.63783597946167,14.221846103668213
40,10,0.25,0.005,-1.567980408668518,-1.6414835453033447,16.211949825286865
20,20,0.25,0.005,-1.5696370601654053,-1.645108699798584,14.040252208709717
80,5,0.25,0.005,-1.5712592601776123,-1.6505805253982544,21.9926540851593
80,20,1.0,0.005,-1.5745877027511597,-1.6480602025985718,24.42529606819153
40,20,1.0,0.005,-1.5763757228851318,-1.6446486711502075,19.06738519668579
40,5,1.0,0.005,-1.5768721103668213,-1.6463117599487305,14.85114073753357
80,5,1.0,0.005,-1.5784921646118164,-1.6588765382766724,21.767844200134277
20,10,0.25,0.005,-1.5798206329345703,-1.6542730331420898,11.729518175125122
80,10,1.0,0.005,-1.5821914672851562,-1.6543233394622803,22.361897945404053
40,10,1.0,0.005,-1.5840544700622559,-1.652617335319519,16.52190899848938
10,20,0.25,0.005,-1.590252161026001,-1.6613422632217407,11.348366022109985
20,10,1.0,0.005,-1.5913543701171875,-1.6638343334197998,12.035741806030273
20,5,0.25,0.005,-1.5948859453201294,-1.6573665142059326,10.571657180786133
20,20,1.0,0.005,-1.5950342416763306,-1.6605018377304077,14.010863780975342
20,5,1.0,0.005,-1.597556710243225,-1.666627287864685,10.708370923995972
10,10,0.25,0.005,-1.5993752479553223,-1.674432635307312,9.184062957763672
10,20,1.0,0.005,-1.602805733680725,-1.67752206325531,11.320961952209473
10,10,1.0,0.005,-1.6040695905685425,-1.6928989887237549,9.266326904296875
10,5,0.25,0.005,-1.606107234954834,-1.686829924583435,8.737275838851929
10,5,1.0,0.005,-1.608961820602417,-1.6938316822052002,8.398966789245605
